	
tt0077475	movie	Dráma a vadászaton	Dráma a vadászaton	0	1986	\N	95	\N
	
tt0077508	movie	Der entführte Prinz	Der entführte Prinz	0	1983	\N	73	\N
	
tt0077648	movie	Habibi, amor mío	Habibi, amor mío	0	1981	\N	95	Drama,Romance
	
tt0077671	movie	Heroic Family	Heroic Family	0	1983	\N	\N	\N
	
tt0077684	movie	Histórias de Combóios em Portugal	Histórias de Combóios em Portugal	0	2022	\N	46	Documentary
	
tt0077722	movie	A Ilha dos Amores	A Ilha dos Amores	0	1982	\N	170	Biography,Drama,Romance
	
tt0077731	movie	Messo comunale praticamente spione	Messo comunale praticamente spione	0	1982	\N	90	Comedy
	
tt0077772	movie	The Executor	Zhi fa zhe	0	1981	\N	95	Crime
	
tt0077885	movie	Mademoiselle	Mademoiselle	0	1982	\N	97	Comedy,Romance
	
tt0077960	movie	Las muñecas del King Kong	Las muñecas del King Kong	0	1981	\N	83	Drama
	
tt0078178	movie	Le rose et le blanc	Le rose et le blanc	0	1982	\N	100	Comedy,Drama
	
tt0078349	movie	Swan Lake	Sekai meisaku dôwa: Hakuchô no mizûmi	0	1981	\N	75	Adventure,Animation,Family
	
tt0078376	movie	Tennessee Stallion	Tennessee Stallion	0	1982	\N	87	Action,Adventure,Drama
	
tt0078393	movie	Bastard Swordsman	Tian can bian	0	1983	\N	89	Action,Mystery
	
tt0078411	movie	Totul pentru fotbal	Totul pentru fotbal	0	1982	\N	98	Comedy,Sport
	
tt0078733	movie	Adolescentes au pensionnat	Adolescentes au pensionnat	1	1981	\N	83	Adult
	
tt0078751	movie	Alison's Birthday	Alison's Birthday	0	1981	\N	99	Horror,Mystery
	
tt0078769	movie	Amor, palavra prostituta	Amor, palavra prostituta	0	1982	\N	92	Drama
	
tt0078834	movie	Beach House	Beach House	0	1982	\N	76	Comedy
	
tt0078871	movie	The Queen of Black Magic	Ratu ilmu hitam	0	1981	\N	90	Drama,Horror
	
tt0078892	movie	Bolívar, a Tropical Symphony	Bolívar, sinfonía tropikal	0	1982	\N	75	Biography,Drama
	
tt0078918	movie	The Bushido Blade	The Bushido Blade	0	1981	\N	104	Action,Drama,History
	
tt0079015	movie	Cuentos para una escapada	Cuentos para una escapada	0	1981	\N	78	Drama
	
tt0079170	movie	Born Wild, Run Free	Itazu - Kuma	0	1987	\N	117	\N
	
tt0079181	movie	Fuego en el mar	Fuego en el mar	0	1981	\N	111	Drama,Thriller
	
tt0079246	movie	Guaguasi	Guaguasi	0	1983	\N	107	Comedy,Drama,War
	
tt0079323	movie	Ich bin dein Killer	Ich bin dein Killer	0	1982	\N	87	Thriller
	
tt0079341	movie	El infierno de todos tan temido	El infierno de todos tan temido	0	1981	\N	108	Drama,Thriller
	
tt0079358	movie	Jade Dagger Ninja	Han shan fei hu	0	1982	\N	90	Action,Drama
	
tt0079396	movie	Kenn' ich, weiß ich, war ich schon!	Kenn' ich, weiß ich, war ich schon!	0	1981	\N	84	Comedy
	
tt0079421	movie	Troubled Laughter	Ku nao ren de xiao	0	1981	\N	92	Drama
	
tt0079446	movie	Latitude 55°	Latitude 55°	0	1982	\N	102	\N
	
tt0079492	movie	Lovespell	Lovespell	0	1981	\N	91	Drama,Fantasy,Romance
	
tt0079509	movie	Fantasy Mission Force	Mi ni te gong dui	0	1983	\N	90	Action,Adventure,Comedy
	
tt0079572	movie	Mojado Power	Mojado Power	0	1981	\N	108	Comedy
	
tt0079587	movie	Mudas Mudancas	Mudas Mudancas	0	1984	\N	\N	\N
	
tt0079644	movie	November 1828	November 1828	0	2001	\N	140	Drama,War
	
tt0079650	movie	Okey, Mister Pancho	Okey, Mister Pancho	0	1981	\N	\N	Adventure,Comedy,Family
	
tt0079678	movie	The Ortlieb Woman	Die Ortliebschen Frauen	0	1981	\N	113	\N
	
tt0079680	movie	Osobo vazhnoye zadaniye	Osobo vazhnoye zadaniye	0	1981	\N	138	Drama,War
	
tt0079706	movie	Paydirt	Paydirt	0	1981	\N	95	Crime,Thriller
	
tt0079712	movie	Perro callejero II	Perro callejero II	0	1981	\N	96	Action,Drama
	
tt0079720	movie	El regreso de Eva Man	El regreso de Eva Man	1	1982	\N	88	Adult,Comedy
	
tt0079762	movie	¡Pum!	¡Pum!	0	1981	\N	101	Comedy,Drama
	
